Date,AAPL,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,MSFT,NVDA,PFE,PG,UNH,WMT,XOM,^GSPC
2021-01-04,125.74083709716795,159.3314971923828,26.32725524902344,67.2135238647461,85.54793548583984,233.06092834472656,134.28736877441406,109.00052642822266,207.95611572265625,13.060796737670898,27.9071044921875,119.85363006591795,317.84674072265625,45.45429992675781,33.46664047241211,3700.64990234375
2021-01-05,127.29551696777344,160.92550659179688,26.528898239135746,69.0305404663086,86.23780822753906,238.27622985839844,135.8662109375,109.5936279296875,208.1567230224609,13.350873947143556,28.195186614990234,120.61891174316406,313.57244873046875,45.21235275268555,35.079490661621094,3726.860107421875
2021-01-06,123.0105209350586,156.91900634765625,28.18585586547852,71.2522201538086,85.38685607910156,251.13412475585935,137.14476013183594,114.73968505859376,202.75938415527344,12.563801765441896,27.952592849731445,121.88858032226562,326.7319030761719,45.49463653564453,35.974609375,3748.139892578125
2021-01-07,127.20802307128906,158.10800170898438,28.808320999145508,71.58545684814453,87.93724060058594,256.4989318847656,137.60806274414062,118.5076675415039,208.52931213378903,13.290371894836426,28.096635818481445,120.74935913085938,331.97021484375,45.49152755737305,36.2568588256836,3803.7900390625
2021-01-08,128.3059844970703,159.13499450683594,28.519006729125977,72.26783752441406,89.10142517089844,255.11822509765625,137.32493591308594,118.63848876953124,209.79981994628903,13.223390579223633,28.149702072143555,120.69719696044922,330.4789123535156,45.485328674316406,36.66006851196289,3824.679931640625
2021-01-11,125.32302856445312,155.7104949951172,28.992416381835938,72.68043518066406,87.04267120361328,258.4162292480469,136.75003051757812,120.40909576416016,207.7650909423828,13.566754341125488,28.634910583496094,119.87971496582033,328.077880859375,45.69007110595703,37.77294158935547,3799.610107421875
2021-01-12,125.1481475830078,156.04150390625,29.50967025756836,74.06102752685547,86.10796356201172,265.78619384765625,135.68603515625,122.30178833007812,205.31954956054688,13.43055534362793,28.18761444091797,119.18397521972656,325.0040588378906,46.21120071411133,38.61163330078125,3801.18994140625
2021-01-13,127.17888641357422,158.29449462890625,29.334333419799805,73.9896240234375,86.59463500976562,266.4281921386719,135.48007202148438,122.41517639160156,206.66650390625,13.47736358642578,27.945011138916016,119.36664581298828,322.8850402832031,45.73969650268555,39.04708099365234,3809.840087890625
2021-01-14,125.25501251220705,156.37350463867188,29.79898834228516,75.76696014404297,85.78531646728516,270.76397705078125,137.8483428955078,123.1303253173828,203.4949493408203,13.147196769714355,27.861616134643555,118.09695434570312,318.78350830078125,45.59080505371094,40.57124328613281,3795.5400390625
2021-01-15,123.53520965576172,155.21249389648438,28.9398136138916,73.06922149658203,85.62176513671875,264.7308044433594,137.5480194091797,120.92369842529295,203.1414794921875,12.807814598083496,27.823707580566406,117.20993041992188,319.4838562011719,44.86802291870117,38.61968994140625,3768.25
2021-01-19,124.20565795898438,156.03799438476562,28.729412078857425,74.9893798828125,88.43929290771484,258.74169921875,139.67601013183594,120.4003448486328,206.76205444335935,12.972899436950684,27.84644889831543,116.18376922607422,320.2931823730469,44.48025894165039,39.38579177856445,3798.909912109375
2021-01-20,128.28656005859375,163.16900634765625,28.35243034362793,75.6796875,93.17727661132812,255.46124267578125,139.33282470703125,118.59489440917967,214.3087615966797,13.312034606933594,27.672075271606445,114.73146057128906,319.0653991699219,45.13790130615234,39.942230224609375,3851.85009765625
2021-01-21,132.9893035888672,165.34950256347656,27.852712631225582,73.0057373046875,93.37947845458984,254.4937744140625,138.7750244140625,117.60055541992188,214.9106292724609,13.811766624450684,27.65691375732422,114.61859130859376,322.8486633300781,44.93315887451172,38.79710388183594,3853.070068359375
2021-01-22,135.12696838378906,164.6114959716797,27.659839630126957,72.78357696533203,93.79627990722656,254.51129150390625,140.33670043945312,116.69343566894533,215.8468017578125,13.657388687133787,27.70998954772949,113.7349624633789,316.0733947753906,45.392276763916016,38.24873733520508,3841.469970703125
2021-01-25,138.86781311035156,164.6999969482422,27.31792640686035,72.12501525878906,93.88153076171876,248.9266357421875,142.42181396484375,115.2368392944336,219.2667236328125,13.59837532043457,28.263431549072266,115.6947250366211,316.3098449707031,45.35194396972656,37.82133865356445,3855.360107421875
2021-01-26,139.10101318359375,166.30650329589844,27.125045776367188,70.90308380126953,94.55902862548828,247.8009796142578,146.28311157226562,114.765869140625,221.94151306152344,13.381253242492676,28.286170959472656,116.43834686279295,312.0354309082031,45.75830841064453,36.99071502685547,3849.6201171875
2021-01-27,138.03219604492188,161.62899780273438,26.15191650390625,69.98268127441406,90.14764404296876,240.3869171142578,144.05215454101562,111.52123260498048,222.4860076904297,12.865833282470703,27.47496223449707,112.31765747070312,302.8320007324219,44.6198616027832,36.57136917114258,3750.77001953125
2021-01-28,133.20309448242188,161.88099670410156,26.58149719238281,70.63331604003906,91.84558868408205,241.8733062744141,145.15049743652344,113.48372650146484,228.24636840820312,12.998547554016112,27.482627868652344,114.0499267578125,307.5246887207031,44.59194564819336,37.14393615722656,3787.3798828125
2021-01-29,128.21856689453125,160.30999755859375,25.99410820007324,67.60231018066406,90.56492614746094,238.4872589111328,139.9763641357422,112.22771453857422,221.58804321289065,12.937542915344238,27.51328468322754,112.1689224243164,303.3685913085937,43.58066940307617,36.16009521484375,3714.239990234375
2021-02-01,130.33670043945312,167.1439971923828,26.26588630676269,68.56240844726562,93.82156372070312,241.61822509765625,139.61598205566406,113.0562973022461,228.93418884277344,13.18380069732666,27.4366455078125,112.83383178710938,303.75054931640625,43.20221710205078,36.224605560302734,3773.860107421875
2021-02-02,131.1626434326172,169.0,27.203950881958008,69.0781478881836,95.11261749267578,252.3830108642578,138.36317443847656,116.53646850585938,228.80044555664065,13.502264976501465,26.81587028503418,112.67636108398438,308.0431213378906,43.66753005981445,36.79716873168945,3826.31005859375
2021-02-03,130.1424102783203,165.62649536132812,27.68613624572754,70.585693359375,102.03919219970705,253.7725982666016,137.7196502685547,117.8709487915039,232.1343994140625,13.47612190246582,26.700912475585938,112.81632232666016,307.2882995605469,43.80092239379883,38.240665435791016,3830.169921875
2021-02-04,133.49461364746094,166.5500030517578,28.49270439147949,70.61744689941406,101.77899932861328,258.345947265625,138.99818420410156,120.5835418701172,231.18869018554688,13.609333038330078,26.739227294921875,112.88633728027344,299.49444580078125,44.213478088378906,38.97451019287109,3871.739990234375
2021-02-05,133.0810089111328,167.6074981689453,28.37872886657715,70.82374572753906,103.5235366821289,258.1260070800781,141.10897827148438,120.3480224609375,231.37017822265625,13.536375999450684,26.762216567993164,113.3587875366211,295.1200561523437,44.78117370605469,40.28093338012695,3886.830078125
2021-02-08,133.22695922851562,166.14700317382812,29.00995635986328,72.58522033691406,103.3099136352539,263.9745178222656,141.5122833251953,122.23199462890624,231.62811279296875,14.380719184875488,26.68557929992676,113.00881958007812,294.9654846191406,44.98899841308594,42.014739990234375,3915.590087890625
2021-02-09,132.35118103027344,165.25,28.887210845947266,72.172607421875,102.85745239257812,264.24713134765625,142.67066955566406,121.74357604980467,232.86997985839844,14.205924034118652,26.8005428314209,112.57135772705078,299.7762756347656,45.2371711730957,41.52267456054688,3911.22998046875
2021-02-10,131.74786376953125,164.32899475097656,28.913515090942383,73.410400390625,103.40707397460938,267.6067810058594,143.13401794433594,121.81336975097656,231.9624481201172,14.704910278320312,26.624271392822266,112.17767333984376,303.2049255371094,44.70981216430664,41.92452621459961,3909.8798828125
2021-02-11,131.49488830566406,163.10650634765625,28.825847625732425,73.01368713378906,103.51956939697266,265.8829650878906,142.49050903320312,121.47319793701172,233.55780029296875,15.189455032348633,26.38669776916504,112.27391815185548,302.9048767089844,44.67569351196289,40.87477111816406,3916.3798828125
2021-02-12,131.7283935546875,163.885498046875,29.255428314208984,73.4342269897461,103.83080291748048,269.40093994140625,142.93667602539062,123.20013427734376,234.03543090820312,14.901118278503418,26.60894775390625,111.65274810791016,298.51226806640625,44.81528091430664,41.43244934082031,3934.830078125
2021-02-16,129.60707092285156,163.44749450683594,30.04446029663086,74.93893432617188,104.60742950439452,274.3611145019531,141.64100646972656,126.16565704345705,232.80311584472656,15.268635749816896,26.585952758789062,111.91521453857422,295.2200927734375,45.18442535400391,42.67903137207031,3932.590087890625
2021-02-17,127.3202896118164,165.4320068359375,30.167198181152344,77.18397521972656,104.99994659423828,275.0470275878906,142.1472625732422,126.5581512451172,233.8180389404297,14.846092224121094,26.739227294921875,112.38764190673828,297.25714111328125,45.66214370727539,43.34333038330078,3931.330078125
2021-02-18,126.22067260742188,166.4114990234375,29.97431945800781,76.44366455078125,104.36505126953124,272.54931640625,142.21588134765625,126.9855499267578,233.4254608154297,14.769402503967283,26.486328125,113.32378387451172,298.6667785644531,42.70279312133789,42.66263961791992,3913.969970703125
2021-02-19,126.3763656616211,162.4949951171875,30.28116226196289,77.08740997314453,103.52254486083984,277.5799560546875,139.84764099121094,129.10504150390625,230.7253875732422,14.86650848388672,26.39435768127441,111.2153091430664,295.1837158203125,42.91373443603516,42.94967269897461,3906.7099609375
2021-02-22,122.6104736328125,159.03700256347656,30.815956115722656,79.17151641845703,101.81024169921876,278.6793518066406,139.76129150390625,130.31744384765625,224.54000854492188,14.298052787780762,26.25640106201172,110.7428741455078,297.9665222167969,42.71211242675781,44.532508850097656,3876.5
2021-02-23,122.47422790527344,159.72500610351562,31.14032554626465,80.16930389404297,102.10065460205078,280.7373046875,138.52662658691406,131.36412048339844,223.35272216796875,14.085163116455078,25.988178253173828,111.56525421142578,299.667236328125,42.0234375,45.14759826660156,3881.3701171875
2021-02-24,121.97795104980467,157.97650146484375,31.89428329467773,83.13047790527344,103.27474212646484,290.7896728515625,140.3829345703125,133.6754150390625,224.5782623291016,14.440725326538086,25.865550994873047,111.68775177001952,302.1226806640625,41.32237243652344,46.50079727172852,3925.429931640625
2021-02-25,117.73524475097656,152.85800170898438,31.499778747558597,82.3580093383789,99.91156005859376,288.2568054199219,140.52975463867188,131.8612518310547,219.25469970703125,13.254016876220703,25.91919708251953,110.7428741455078,299.0851135253906,40.93152618408203,45.72987747192383,3829.340087890625
2021-02-26,117.99799346923828,154.64649963378906,30.430206298828125,80.46702575683594,100.2069320678711,280.97479248046875,136.81704711914062,128.3636932373047,222.50054931640625,13.659380912780762,25.666290283203125,108.07447052001952,302.1317749023437,40.30181121826172,44.58991241455078,3811.14990234375
2021-03-01,124.3523406982422,157.3070068359375,31.37703895568848,82.11658477783203,102.57347106933594,291.29620361328125,137.55958557128906,131.26809692382812,226.86666870117188,13.78611946105957,25.81956672668457,108.7393798828125,304.3416442871094,40.751609802246094,46.2547492980957,3901.820068359375
2021-03-02,121.754150390625,154.72650146484375,31.14910316467285,82.43041229248047,102.31673431396484,292.19677734375,137.300537109375,130.8407440185547,223.92718505859372,13.35236930847168,25.68161392211914,108.39817810058594,304.3326110839844,40.360748291015625,45.98411560058594,3870.2900390625
2021-03-03,118.77647399902344,150.25,31.92935943603516,83.35578155517578,99.68655395507812,295.2782287597656,134.88299560546875,133.3701629638672,217.8854522705078,12.75328540802002,26.35603904724121,107.75076293945312,302.72283935546875,39.57902908325195,46.353172302246094,3819.719970703125
2021-03-04,116.8983917236328,148.8784942626953,32.15843963623047,84.08802795410156,100.80265808105467,290.739990234375,132.1632537841797,131.32044982910156,217.09075927734372,12.320533752441406,26.210420608520508,106.86713409423828,303.5777587890625,39.560428619384766,48.14923477172852,3768.469970703125
2021-03-05,118.15367889404295,150.0229949951172,32.53728103637695,87.70905303955078,103.93190002441406,289.0447082519531,134.77940368652344,131.62574768066406,221.7537384033203,12.411417961120604,26.35603904724121,110.21793365478516,315.6641845703125,40.05363845825195,49.96990203857422,3841.93994140625
2021-03-08,113.22981262207033,147.59750366210938,32.713497161865234,88.31256103515625,99.4927749633789,295.0662536621094,135.90182495117188,133.3701629638672,217.72271728515625,11.54665756225586,26.32537841796875,111.38152313232422,318.45611572265625,39.66898727416992,49.92068862915039,3821.35009765625
2021-03-09,117.83255767822266,153.1425018310547,31.999839782714844,88.11140441894531,101.12133026123048,291.8877868652344,136.16085815429688,132.42820739746094,223.8410186767578,12.474235534667969,26.40202140808105,110.3929214477539,320.1022644042969,39.98229217529297,49.1497917175293,3875.43994140625
2021-03-10,116.75240325927734,152.8820037841797,32.924957275390625,89.61611938476562,100.91465759277344,301.9796447753906,137.41278076171875,135.30650329589844,222.5388641357422,12.422425270080566,26.769880294799805,111.40776824951172,317.93768310546875,41.00286865234375,50.65880584716797,3898.81005859375
