Ticker,Sector,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,Beta,Alpha,VaR_95_Daily,VaR_99_Daily,CVaR_95_Daily,MaxDrawdown,MaxDrawdownDurationDays
AAPL,Technology,0.19374633508751482,0.277297265981453,0.6180993792446614,1.2160891218940797,0.03860946677685567,0.027547267468759705,0.04293907479694652,0.038872410578922933,-0.3336050019433964,354
MSFT,Technology,0.1228300283477004,0.2657637941797911,0.40312818910776227,1.1306311477106445,-0.024567215062706982,0.02678285365454658,0.04172546638949507,0.037117795138811915,-0.3714848604350097,392
GOOGL,Technology,0.2890691375602643,0.3118062218566709,0.8289784206904331,1.2715745352572878,0.12890715262391889,0.029301634696127295,0.04712017932230487,0.042451663705671515,-0.4432005398259248,546
NVDA,Technology,0.6447483842831918,0.5103600568595034,1.1421485208836302,2.14804212656619,0.4052078456334476,0.04683411724119695,0.0738176438332251,0.06582723029423199,-0.6633509725941642,373
JPM,Financials,0.2299510432437213,0.24256661943870617,0.7931926462283612,0.8838086420541682,0.10490763666334352,0.02341896528270282,0.04196236506032515,0.03482695861714374,-0.3877158439959475,538
BAC,Financials,0.16561342947789703,0.26725028233236525,0.5424666676057444,0.9605727729747867,0.03361776847309167,0.02619028443523771,0.03915476310899097,0.03658449760667094,-0.46642919895018364,692
GS,Financials,0.3174536552606171,0.2823464503587238,0.9616494852082882,1.1350934327279891,0.16965227856057508,0.024913764177637597,0.04351397613105909,0.03808523111285089,-0.32840104167256223,596
JNJ,Healthcare,0.12181165742757027,0.17127994638155591,0.49973214317949827,0.18845027327881247,0.05974438615810153,0.01636442111382344,0.026068113895106146,0.022809623230148447,-0.18411652897018171,812
UNH,Healthcare,0.054611455751684135,0.3096067899581679,0.1897239202289442,0.42891867498372355,-0.02923418374313186,0.02440123826192918,0.05613091095691626,0.045741068924673445,-0.6139085990314355,419
PFE,Healthcare,-0.01940457304201093,0.24840873826627485,-0.13252423033691954,0.3946207763995393,-0.10014397379848908,0.023332067139757936,0.038514785807183045,0.032480887533829654,-0.5896198696915091,1148
AMZN,Consumer,0.08296867904656713,0.3471712621176193,0.2761753104730967,1.4718555321676232,-0.0953320437377782,0.03236251145397986,0.055794471711297436,0.0487605597694322,-0.5614526325328222,693
WMT,Consumer,0.1819914074414859,0.21507633334465395,0.6809841110939675,0.42772910991615704,0.09825350262567885,0.0189064479349013,0.03406964548041782,0.03095166351236915,-0.25739658515697994,287
PG,Consumer,0.041519973432388335,0.17821126786433036,0.07057176427984894,0.29554076059040074,-0.030246102543096037,0.01760487785540018,0.02842215040759857,0.02601235965639604,-0.23772446553949123,439
XOM,Energy,0.30856659931451547,0.2728188772947851,0.9614182666607655,0.45467047419210616,0.22238871091860024,0.027549771201109383,0.04487512679163742,0.03776230524864961,-0.20508644894216832,306
CVX,Energy,0.20443316544372436,0.2534500938490696,0.6875653292090295,0.5138514643341884,0.1128954651718333,0.025501132046124992,0.044733748237284994,0.03701537227170754,-0.249489398622183,743
