Ticker,Sector,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,Beta,Alpha,VaR_95_Daily,VaR_99_Daily,CVaR_95_Daily,MaxDrawdown,MaxDrawdownDurationDays
AAPL,Technology,0.1937463350875148,0.277297265981453,0.6180993792446614,1.2160891218940797,0.0386094667768556,0.0275472674687597,0.0429390747969465,0.0388724105789229,-0.3336050019433964,354
MSFT,Technology,0.1228300283477004,0.2657637941797911,0.4031281891077622,1.1306311477106443,-0.0245672150627069,0.0267828536545465,0.041725466389495,0.0371177951388119,-0.3714848604350097,392
GOOGL,Technology,0.2890691375602643,0.3118062218566709,0.8289784206904331,1.2715745352572878,0.1289071526239188,0.0293016346961272,0.0471201793223048,0.0424516637056715,-0.4432005398259248,546
NVDA,Technology,0.6447483842831918,0.5103600568595034,1.1421485208836302,2.14804212656619,0.4052078456334476,0.0468341172411969,0.0738176438332251,0.0658272302942319,-0.6633509725941642,373
JPM,Financials,0.2299510432437213,0.2425666194387061,0.7931926462283612,0.8838086420541682,0.1049076366633435,0.0234189652827028,0.0419623650603251,0.0348269586171437,-0.3877158439959475,538
BAC,Financials,0.165613429477897,0.2672502823323652,0.5424666676057444,0.9605727729747868,0.0336177684730916,0.0261902844352377,0.0391547631089909,0.0365844976066709,-0.4664291989501836,692
GS,Financials,0.3174536552606171,0.2823464503587238,0.9616494852082882,1.1350934327279891,0.169652278560575,0.0249137641776375,0.043513976131059,0.0380852311128508,-0.3284010416725622,596
JNJ,Healthcare,0.1218116574275702,0.1712799463815559,0.4997321431794982,0.1884502732788124,0.0597443861581015,0.0163644211138234,0.0260681138951061,0.0228096232301484,-0.1841165289701817,812
UNH,Healthcare,0.0546114557516841,0.3096067899581679,0.1897239202289442,0.4289186749837235,-0.0292341837431318,0.0244012382619291,0.0561309109569162,0.0457410689246734,-0.6139085990314355,419
PFE,Healthcare,-0.0194045730420109,0.2484087382662748,-0.1325242303369195,0.3946207763995393,-0.100143973798489,0.0233320671397579,0.038514785807183,0.0324808875338296,-0.5896198696915091,1148
AMZN,Consumer,0.0829686790465671,0.3471712621176193,0.2761753104730967,1.4718555321676232,-0.0953320437377782,0.0323625114539798,0.0557944717112974,0.0487605597694322,-0.5614526325328222,693
WMT,Consumer,0.1819914074414859,0.2150763333446539,0.6809841110939675,0.427729109916157,0.0982535026256788,0.0189064479349013,0.0340696454804178,0.0309516635123691,-0.2573965851569799,287
PG,Consumer,0.0415199734323883,0.1782112678643303,0.0705717642798489,0.2955407605904007,-0.030246102543096,0.0176048778554001,0.0284221504075985,0.026012359656396,-0.2377244655394912,439
XOM,Energy,0.3085665993145154,0.2728188772947851,0.9614182666607656,0.4546704741921061,0.2223887109186002,0.0275497712011093,0.0448751267916374,0.0377623052486496,-0.2050864489421683,306
CVX,Energy,0.2044331654437243,0.2534500938490696,0.6875653292090295,0.5138514643341884,0.1128954651718333,0.0255011320461249,0.0447337482372849,0.0370153722717075,-0.249489398622183,743
EQUAL_WEIGHT_PORTFOLIO,Portfolio,0.2224250255594,0.1542757988911484,1.0940178501098126,0.86142992300318,0.0994083800022942,0.0147331171182666,0.0250377772263612,0.0222135736156524,-0.1990909798731532,295
