Date,Ticker,Sector,Close,Adj Close,Volume,DailyReturn
2021-01-04,AAPL,Technology,129.41000366210938,125.74083709716795,143301900,
2021-01-05,AAPL,Technology,131.00999450683594,127.29551696777344,97664900,0.0123641603356281
2021-01-06,AAPL,Technology,126.5999984741211,123.0105209350586,155088000,-0.0336617984260957
2021-01-07,AAPL,Technology,130.9199981689453,127.20802307128906,109578200,0.0341231148711782
2021-01-08,AAPL,Technology,132.0500030517578,128.3059844970703,105158200,0.00863122780523
2021-01-11,AAPL,Technology,128.97999572753906,125.32302856445312,100384500,-0.0232487669558804
2021-01-12,AAPL,Technology,128.8000030517578,125.1481475830078,91951100,-0.0013954417113003
2021-01-13,AAPL,Technology,130.88999938964844,127.17888641357422,88636800,0.0162266790982221
2021-01-14,AAPL,Technology,128.91000366210938,125.25501251220705,90221800,-0.0151273057629307
2021-01-15,AAPL,Technology,127.13999938964844,123.53520965576172,111598500,-0.0137304114378473
2021-01-19,AAPL,Technology,127.83000183105467,124.20565795898438,90757300,0.0054271839185839
2021-01-20,AAPL,Technology,132.02999877929688,128.28656005859375,104319500,0.0328560080649222
2021-01-21,AAPL,Technology,136.8699951171875,132.9893035888672,120150900,0.0366581154575
2021-01-22,AAPL,Technology,139.07000732421875,135.12696838378906,114459400,0.0160739603654922
2021-01-25,AAPL,Technology,142.9199981689453,138.86781311035156,157611700,0.0276839240257187
2021-01-26,AAPL,Technology,143.16000366210938,139.10101318359375,98390600,0.0016792953530337
2021-01-27,AAPL,Technology,142.05999755859375,138.03219604492188,140843800,-0.0076837480490612
2021-01-28,AAPL,Technology,137.08999633789062,133.20309448242188,142621100,-0.0349853273429656
2021-01-29,AAPL,Technology,131.9600067138672,128.21856689453125,177523800,-0.0374205089398159
2021-02-01,AAPL,Technology,134.13999938964844,130.33670043945312,106239800,0.0165197100250245
2021-02-02,AAPL,Technology,134.99000549316406,131.1626434326172,83305400,0.0063369948017653
2021-02-03,AAPL,Technology,133.94000244140625,130.1424102783203,89880900,-0.0077783820727965
2021-02-04,AAPL,Technology,137.38999938964844,133.49461364746094,84183100,0.0257579628498632
2021-02-05,AAPL,Technology,136.75999450683594,133.0810089111328,75693800,-0.0030982878262069
2021-02-08,AAPL,Technology,136.91000366210938,133.22695922851562,71297200,0.001096702817156
2021-02-09,AAPL,Technology,136.00999450683594,132.35118103027344,76774200,-0.0065735809277162
2021-02-10,AAPL,Technology,135.38999938964844,131.74786376953125,73046600,-0.004558457703556
2021-02-11,AAPL,Technology,135.1300048828125,131.49488830566406,64280000,-0.001920148506618
2021-02-12,AAPL,Technology,135.3699951171875,131.7283935546875,60145100,0.0017757743440234
2021-02-16,AAPL,Technology,133.19000244140625,129.60707092285156,80576300,-0.0161037614943301
2021-02-17,AAPL,Technology,130.83999633789062,127.3202896118164,97918500,-0.017643954876477
2021-02-18,AAPL,Technology,129.7100067138672,126.22067260742188,96856700,-0.0086366203512977
2021-02-19,AAPL,Technology,129.8699951171875,126.3763656616211,87668800,0.0012334988475577
2021-02-22,AAPL,Technology,126.0,122.6104736328125,103916400,-0.0297990214316808
2021-02-23,AAPL,Technology,125.86000061035156,122.47422790527344,158273000,-0.0011112079050202
2021-02-24,AAPL,Technology,125.3499984741211,121.97795104980467,111039900,-0.0040520921336414
2021-02-25,AAPL,Technology,120.98999786376952,117.73524475097656,148199500,-0.0347825673600287
2021-02-26,AAPL,Technology,121.26000213623048,117.99799346923828,164560400,0.0022316912732245
2021-03-01,AAPL,Technology,127.79000091552734,124.3523406982422,116307900,0.0538513159603895
2021-03-02,AAPL,Technology,125.12000274658205,121.754150390625,102260900,-0.0208937788627723
2021-03-03,AAPL,Technology,122.05999755859376,118.77647399902344,112966300,-0.0244564672501779
2021-03-04,AAPL,Technology,120.12999725341795,116.8983917236328,178155000,-0.015811904598263
2021-03-05,AAPL,Technology,121.41999816894533,118.15367889404295,153766600,0.0107382757957685
2021-03-08,AAPL,Technology,116.36000061035156,113.22981262207033,154376600,-0.0416734063472388
2021-03-09,AAPL,Technology,121.08999633789062,117.83255767822266,129525800,0.0406495864434133
2021-03-10,AAPL,Technology,119.9800033569336,116.75240325927734,111943300,-0.0091668588056537
2021-03-11,AAPL,Technology,121.95999908447266,118.67913055419922,103026500,0.0165026778133474
2021-03-12,AAPL,Technology,121.02999877929688,117.774169921875,88105100,-0.0076252718409571
2021-03-15,AAPL,Technology,123.98999786376952,120.6545639038086,92403800,0.0244569245008841
2021-03-16,AAPL,Technology,125.56999969482422,122.1920394897461,115227900,0.0127427884714186
2021-03-17,AAPL,Technology,124.76000213623048,121.40384674072266,111932600,-0.0064504426991709
2021-03-18,AAPL,Technology,120.52999877929688,117.2876205444336,121229700,-0.0339052369986259
2021-03-19,AAPL,Technology,119.98999786376952,116.7621612548828,185549500,-0.0044800916508638
2021-03-22,AAPL,Technology,123.38999938964844,120.0706787109375,111912300,0.0283355277128902
2021-03-23,AAPL,Technology,122.54000091552734,119.24356079101562,95467100,-0.0068885920259775
2021-03-24,AAPL,Technology,120.08999633789062,116.85945892333984,88530500,-0.0199935480948453
2021-03-25,AAPL,Technology,120.58999633789062,117.34600067138672,98844700,0.0041634776724923
2021-03-26,AAPL,Technology,121.20999908447266,117.94933319091795,94071200,0.0051414834428042
2021-03-29,AAPL,Technology,121.38999938964844,118.12449645996094,80819200,0.0014850721433028
2021-03-30,AAPL,Technology,119.9000015258789,116.67455291748048,85671900,-0.0122747066521626
2021-03-31,AAPL,Technology,122.1500015258789,118.86404418945312,118323800,0.0187657995443204
2021-04-01,AAPL,Technology,123.0,119.6911849975586,75089100,0.006958713324503
2021-04-05,AAPL,Technology,125.9000015258789,122.5131607055664,88651200,0.023577139018762
2021-04-06,AAPL,Technology,126.20999908447266,122.8148193359375,80171300,0.0024622549008923
2021-04-07,AAPL,Technology,127.9000015258789,124.45935821533205,83466700,0.0133903944840418
2021-04-08,AAPL,Technology,130.36000061035156,126.85320281982422,88844600,0.0192339462360917
2021-04-09,AAPL,Technology,133.0,129.4221954345703,106686700,0.0202516969035062
2021-04-12,AAPL,Technology,131.24000549316406,127.70948028564452,91420000,-0.0132335504213546
2021-04-13,AAPL,Technology,134.42999267578125,130.81369018554688,91266500,0.0243068086484985
2021-04-14,AAPL,Technology,132.02999877929688,128.47824096679688,87222800,-0.0178532477406407
2021-04-15,AAPL,Technology,134.5,130.8817901611328,89347100,0.0187078308065962
2021-04-16,AAPL,Technology,134.16000366210938,130.55093383789062,84922400,-0.0025279018787476
